gene	WT MEP	&Delta;dam MEP	gap	WT IEP	&Delta;hilA IEP	&Delta;hilC IEP	&Delta;hilD IEP	&Delta;hilE IEP	gap	WT ESP	&Delta;hilD ESP	&Delta;barA-sirA ESP	&Delta;fliZ ESP	&Delta;fur ESP	&Delta;hfq ESP	gap	WT LSP	&Delta;rpoE LSP	&Delta;rpoS LSP	gap	WT InSPI2	&Delta;hilD InSPI2	&Delta;phoB-R InSPI2	&Delta;phoP-Q InSPI2	&Delta;ompR-envZ InSPI2	&Delta;slyA InSPI2	&Delta;ssrA InSPI2	&Delta;ssrB InSPI2	&Delta;ssrA-B InSPI2	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
SL1344_4255	31	38		50	61	33	31	110		62	14	22	33	53	10		5	5	6		785	534	534	12	92	28	94	79	98	phoN		CDS	4584170	4584922	-	nonspecific acid phosphatase precursor	STM474_4514	SL1344_4255
SL1344_2764	91	152		201	234	79	51	481		252	44	59	105	206	1		9	11	11		2,328	1,937	2,491	6	572	118	753	590	734	virK		CDS	2950949	2951878	+	virulence protein	STM474_2915	SL1344_2764
SL1344_4388	64	82		66	66	90	82	47		26	30	35	32	14	30		2	2	1		23	23	25	13	21	19	22	18	17	STM4457		CDS	4723096	4723542	-	hypothetical membrane protein	STM474_4655	SL1344_4388
SL1344_1602	46	72		85	80	76	38	128		143	58	64	81	167	5		58	82	37		474	483	565	8	274	158	309	270	301	STM1672		CDS	1722495	1723607	+	hypothetical protein	STM474_1685	SL1344_1602
SL1344_4265	22	18		45	45	54	46	44		27	23	26	28	66	15		9	9	4		107	85	99	10	33	21	32	30	28	yjeH		CDS	4593839	4595080	-	hypothetical permease	STM474_4525	SL1344_4265
SL1344_2765	177	164		253	289	162	98	487		265	70	61	135	202	1		6	7	15		1,342	1,260	1,363	8	603	65	643	560	635	mig-14		CDS	2952171	2953067	+	hypothetical transcriptional regulator	STM474_2916	SL1344_2765
SL1344_2137	19	26		36	44	40	48	37		16	19	16	14	12	12		4	4	1		10	9	8	8	10	8	8	7	7	yehU		CDS	2252176	2253861	-	hypothetical two-component system sensor kinase	STM474_2247	SL1344_2137
SL1344_4295	1,540	1,242		1,569	1,310	2,218	1,499	942		772	757	683	755	448	535		80	81	49		673	711	673	710	882	653	788	684	781	hfq		CDS	4625157	4625465	+	host factor-I protein(HF-I)	STM474_4558	SL1344_4295
SL1344_3963	7	6		13	9	12	10	10		7	6	8	7	5	6		1	1	2		10	7	9	8	6	7	7	6	6	yihO		CDS	4247209	4248630	-	hypothetical membrane transport protein	STM474_4194	SL1344_3963
SL1344_3062	91	116		65	71	64	65	81		42	46	35	41	51	30		16	14	4		84	72	72	46	67	50	54	55	51	speA		CDS	3269629	3271542	-	Biosynthetic arginine decarboxylase	STM474_3234	SL1344_3062
SL1344_0187	467	374		629	689	877	673	621		409	240	360	353	202	660		32	28	6		422	429	318	411	579	245	433	380	409	dksA		CDS	216394	216849	-	dosage-dependent dnaK suppressor protein	STM474_0195	SL1344_0187
SL1344_2266	56	55		62	64	64	39	83		64	42	52	51	49	1		3	2	41		380	316	317	196	321	244	354	320	282	yfbE		CDS	2401669	2402826	+	hypothetical lipopolysaccharide biosynthesis protein	STM474_2393	SL1344_2266
SL1344_4013	85	88		81	94	72	82	126		34	27	28	28	22	16		2	3	2		304	232	264	23	118	60	109	88	82	cdh-a	ushB	CDS	4296025	4296780	+	CDP-diglyceride hydrolase	STM474_4246	SL1344_4013
SL1344_2273	328	394		690	661	529	463	917		368	233	271	236	373	55		28	32	21		751	648	773	36	308	292	362	350	279	pmrD		CDS	2409034	2409291	-	polymyxin B resistance protein	STM474_2400	SL1344_2273
SL1344_0616	163	173		88	121	74	90	162		75	35	66	47	54	2		9	8	7		515	402	548	19	219	127	265	201	243	pagP		CDS	691643	692215	+	antimicrobial peptide resistance and lipid A acylation protein	STM474_0649	SL1344_0616
SL1344_1134	699	623		246	286	306	283	237		140	169	165	164	68	157		4	4	4		233	243	235	231	373	219	231	219	239	fabF		CDS	1236577	1237818	+	3-oxoacyl-[acyl-carrier-protein] synthase II	STM474_1194	SL1344_1134
SL1344_1793	4	6		17	15	11	8	26		14	5	5	8	42	1		9	13	4		119	96	97	3	18	9	24	20	28	pagO		CDS	1917075	1917989	+	inner membrane protein (PagO)	STM474_1888	SL1344_1793
SL1344_0302	17	26		49	49	56	35	74		85	73	51	76	143	30		39	44	8		335	245	312	6	67	38	72	59	78	pagN		CDS	349371	350090	-	possible outer membrane adhesin	STM474_0321	SL1344_0302
SL1344_1204	49	49		53	66	69	40	109		61	33	20	33	66	2		1	1	5		1,119	830	1,225	90	725	505	689	618	769	aroQ		CDS	1306706	1307251	+	chorismate mutase	STM474_1270	SL1344_1204
