gene	WT MEP	&Delta;dam MEP	gap	WT IEP	&Delta;hilA IEP	&Delta;hilC IEP	&Delta;hilD IEP	&Delta;hilE IEP	gap	WT ESP	&Delta;hilD ESP	&Delta;barA-sirA ESP	&Delta;fliZ ESP	&Delta;fur ESP	&Delta;hfq ESP	gap	WT LSP	&Delta;rpoE LSP	&Delta;rpoS LSP	gap	WT InSPI2	&Delta;hilD InSPI2	&Delta;phoB-R InSPI2	&Delta;phoP-Q InSPI2	&Delta;ompR-envZ InSPI2	&Delta;slyA InSPI2	&Delta;ssrA InSPI2	&Delta;ssrB InSPI2	&Delta;ssrA-B InSPI2	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
SL1344_1795	2	3		5	5	4	3	9		8	2	1	3	14	1		1	1	0		93	80	64	2	11	5	16	11	13	STM1864		CDS	1918290	1918904	+	hypothetical membrane protein	STM474_1890	SL1344_1795
pipB2	9	14		23	28	23	18	60		82	30	28	43	187	11		7	9	34		2,232	1,345	2,042	59	49	19	53	43	55	pipB2		CDS	2949378	2950430	-	Type III secretion system effector protein, Contributes to Sif formation	STM474_2914	SL1344_2763
ygaM	20	27		159	153	423	195	131		174	171	121	274	435	98		134	157	3		193	154	178	28	53	61	66	58	72	ygaM		CDS	2971885	2972223	+	conserved hypothetical protein	STM474_2939	SL1344_2786
SL1344_2789	1	0		0	0	1	2	0		2	0	1	1	0	2		0	0	0		1	2	1	2	1	1	2	2	1	SL2789		CDS	2974158	2974334	+	hypothetical protein	STM474_2942	SL1344_2789
nrdH	32	23		3	3	5	4	2		0	1	1	0	42	1		13	12	2		3	5	3	1	2	5	2	1	3	nrdH		CDS	2974433	2974678	+	hypothetical glutaredoxin	STM474_2943	SL1344_2790
phnO	13	12		19	18	19	13	23		14	12	11	12	22	13		4	3	2		113	76	94	3	25	15	25	20	23	phnO		CDS	4550311	4550745	-	hypothetical acetyltransferase	STM474_4483	SL1344_4224
PinT	385	609		4,542	5,080	1,178	1,187	7,929		5,163	878	1,809	2,318	4,756	64		2,560	2,387	3,174		25,229	14,809	15,885	724	2,266	1,095	3,065	3,069	2,618	PinT		sRNA	4580486	4580566	+			SL1344_STnc440
rpmE2	22	40		37	34	42	41	34		18	14	19	10	12	29		161	241	73		10	13	14	19	21	26	16	9	17	rpmE2		CDS	525840	526100	+	hypothetical 50s ribosomal protein L31 (second copy)	STM474_0489	SL1344_0462
rpmJa	69	62		103	68	88	94	91		92	91	97	118	102	90		287	326	122		62	59	85	66	76	92	75	62	75	rpmJa	rpmJ2	CDS	526163	526246	+	hypothetical 50s ribosomal protein L36 (second copy)	STM474_0490	SL1344_0463
ylaC	70	183		220	291	154	249	237		86	154	99	94	121	84		17	13	34		163	116	192	37	96	64	92	78	91	ylaC		CDS	526302	526772	-	hypothetical membrane protein	STM474_0491	SL1344_0464
